run_id,config_name,total_ram_mb,cpu_cores,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,num_layers,hidden_units,gamma,strength,time_horizon,summary_freq,keep_checkpoints,max_steps,cpu_avg_unity,cpu_peak_unity,ram_avg_unity,ram_peak_unity,cpu_avg_python,cpu_peak_python,ram_avg_python,ram_peak_python,duration_sec
run_1764187567,config_118.yaml,11700.625,6,292,1482,0.0003,0.01,0.3,0.99,10,3,167,0.999,0.5,118,1173,5,50000,15.74244604316548,59.9,159.24848246402877,161.4296875,293.2690647482016,301.5,499.1319694244604,505.7890625,69.1747100353241
run_1764187615,config_119.yaml,11700.625,6,387,14240,0.0003,0.01,0.3,0.99,4,4,91,0.999,0.5,93,2034,5,50000,24.30930232558142,61.8,158.6808230377907,161.2734375,269.0372093023254,301.4,526.1372638081396,542.953125,42.600433588027954
run_1764187664,config_11.yaml,11700.625,6,388,14479,0.0003,0.01,0.3,0.99,5,1,109,0.999,0.5,17,2555,5,50000,23.51685393258429,61.8,158.45843574438203,161.19140625,263.22359550561805,303.2,519.2072945926966,533.546875,44.11683177947998
run_1764187749,config_120.yaml,11700.625,6,138,11587,0.0003,0.01,0.3,0.99,8,2,375,0.999,0.5,123,1807,5,50000,13.753416149068336,45.9,162.04597729037266,167.7421875,271.40124223602504,303.3,528.9974767080745,540.33203125,80.20304608345032
run_1764187788,config_121.yaml,11700.625,6,648,15716,0.0003,0.01,0.3,0.99,1,1,370,0.999,0.5,26,554,5,50000,29.936231884058003,65.8,153.4061367753623,159.015625,275.7579710144926,303.3,529.7630774456521,552.4140625,34.09040904045105
run_1764187851,config_122.yaml,11700.625,6,371,13820,0.0003,0.01,0.3,0.99,5,3,219,0.999,0.5,23,2701,5,50000,21.242241379310368,61.9,157.58822737068965,160.89453125,268.29137931034484,301.9,529.5711880387931,544.80859375,57.66971158981323
run_1764187917,config_123.yaml,11700.625,6,268,8411,0.0003,0.01,0.3,0.99,6,2,268,0.999,0.5,102,2076,5,50000,19.745528455284575,55.6,159.08076092479675,161.03125,270.6373983739838,303.1,516.9909171747968,529.34765625,61.16595125198364
run_1764187965,config_124.yaml,11700.625,6,496,2058,0.0003,0.01,0.3,0.99,1,3,445,0.999,0.5,90,675,5,50000,27.687058823529433,97.8,154.44728860294117,164.15625,285.0847058823529,303.3,529.0102481617647,541.94140625,42.11365747451782
run_1764188046,config_125.yaml,11700.625,6,956,3292,0.0003,0.01,0.3,0.99,8,3,390,0.999,0.5,51,3376,5,50000,15.484967320261452,79.8,161.4208282271242,163.4375,291.37581699346424,302.3,548.6037837009804,572.4140625,76.21303224563599
run_1764188120,config_126.yaml,11700.625,6,102,13878,0.0003,0.01,0.3,0.99,4,4,326,0.999,0.5,24,1235,5,50000,16.138848920863325,73.8,156.30111848021582,164.3359375,277.876258992806,301.7,535.2585712679856,548.42578125,69.20183539390564
run_1764188204,config_127.yaml,11700.625,6,643,5146,0.0003,0.01,0.3,0.99,7,3,449,0.999,0.5,53,2086,5,50000,14.400632911392421,47.9,154.74730518196202,163.7265625,284.79240506329137,302.8,544.9159414556962,563.08203125,78.71457529067993
run_1764188269,config_128.yaml,11700.625,6,790,11011,0.0003,0.01,0.3,0.99,8,3,204,0.999,0.5,109,4965,5,50000,20.133884297520684,49.8,159.8242833161157,166.31640625,262.4140495867769,301.4,540.2551652892562,556.73046875,60.173766136169434
run_1764188337,config_129.yaml,11700.625,6,220,7635,0.0003,0.01,0.3,0.99,7,2,180,0.999,0.5,111,1354,5,50000,19.954330708661434,65.9,157.19771161417322,159.2890625,269.6803149606299,302.7,515.7241326279527,527.34765625,63.1938955783844
run_1764188386,config_12.yaml,11700.625,6,350,3599,0.0003,0.01,0.3,0.99,3,1,70,0.999,0.5,47,1382,5,50000,26.874444444444467,67.9,156.48415798611111,159.2421875,287.48666666666674,302.1,492.1763020833333,500.9296875,44.62188673019409
run_1764188438,config_130.yaml,11700.625,6,455,1038,0.0003,0.01,0.3,0.99,3,2,94,0.999,0.5,56,2178,5,50000,27.05638297872343,51.9,158.6969331781915,162.9765625,287.89680851063815,302.2,488.96800199468083,495.83203125,46.65345788002014
