seed,cpu_physical_cores,cpu_logical_cores,cpu_clock_ghz,ram_mb,avg_cpu_usage,avg_ram_usage,peak_cpu_usage,peak_ram_usage,learning_rate,batch_size,buffer_size,hidden_units,num_layers,gamma,strength,keep_checkpoints,max_steps,time_horizon,summary_freq,buffer_init_steps,tau,steps_per_update,init_entcoef,reward_signal_steps_per_update,beta,epsilon,lambd,num_epoch,train_duration_s,final_mean_reward,final_std_reward,steps_to_convergence,algo_sac,os_name_Windows,os_name_macOS,time_to_convergence,converged
0.0,10,10,0.0,16384.0,17.54,995.56,20.44,1148.78,0.0003,32.0,213120.0,67.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,527.042,100.0,0.0,0.0,False,False,True,-1.0,0
0.0,10,10,0.0,16384.0,16.97,1002.72,20.61,1149.56,0.0003,32.0,207232.0,74.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,613.704,100.0,0.0,1510000.0,False,False,True,607.823,1
0.0,10,10,0.0,16384.0,17.43,991.07,21.99,1138.52,0.0003,32.0,207456.0,99.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,581.511,100.0,0.0,1480000.0,False,False,True,576.015,1
0.0,10,10,0.0,16384.0,17.66,1303.57,22.32,1677.5,0.0003,32.0,429728.0,118.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1231.672,100.0,0.0,3100000.0,False,False,True,1226.152,1
0.0,10,10,0.0,16384.0,17.65,882.94,21.19,954.23,0.0003,32.0,129248.0,105.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,402.44,100.0,0.0,1060000.0,False,False,True,397.051,1
0.0,10,10,0.0,16384.0,17.64,1219.41,19.73,1511.39,0.0003,32.0,356768.0,90.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1033.586,100.0,0.0,2200000.0,False,False,True,884.457,1
0.0,10,10,0.0,16384.0,17.6,910.58,19.08,994.83,0.0003,32.0,142976.0,79.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,448.453,100.0,0.0,1050000.0,False,False,True,405.94,1
0.0,10,10,0.0,16384.0,17.67,1036.07,19.58,1200.05,0.0003,32.0,226368.0,93.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,624.665,100.0,0.0,1600000.0,False,False,True,622.004,1
0.0,10,10,0.0,16384.0,17.71,925.89,22.65,1028.97,0.0003,32.0,163008.0,113.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,413.376,100.0,0.0,1010000.0,False,False,True,407.889,1
0.0,10,10,0.0,16384.0,17.58,1160.1,21.32,1458.61,0.0003,32.0,337248.0,76.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,951.827,100.0,0.0,2400000.0,False,False,True,905.728,1
0.0,10,10,0.0,16384.0,17.66,834.14,19.09,868.86,0.0003,32.0,91936.0,70.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,333.236,100.0,0.0,680000.0,False,False,True,262.506,1
0.0,10,10,0.0,16384.0,17.68,1099.35,20.81,1296.75,0.0003,32.0,269088.0,89.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,844.222,100.0,0.0,2040000.0,False,False,True,763.945,1
